# Unicode character frequencies computed on dumps of all wikipedia languages (288)
# Dumps downloader: https://github.com/aesuli/wikipediatools
# Html converted to plain text: https://github.com/aesuli/wikipedia-extractor
#
# Andrea Esuli
# http://www.esuli.it/
#
#'char'<tab>ord(char)<tab>freq
'แ'	3649	1958685
'ả'	7843	1951539
'時'	26178	1941402
'ര'	3376	1925560
'ვ'	4309	1925474
'ಸ'	3256	1916731
'ů'	367	1911986
'ύ'	973	1909941
'き'	12365	1909545
'స'	3128	1903692
'以'	20197	1903072
'作'	20316	1901686
'カ'	12459	1899411
'用'	29992	1894086
'য'	2479	1892176
'ạ'	7841	1889275
'有'	26377	1886704
'そ'	12381	1877158
'生'	29983	1875746
'ì'	236	1874969
'უ'	4323	1874824
'ս'	1405	1869770
'θ'	952	1861921
'成'	25104	1858271
'É'	201	1846950
'්'	3530	1841070
'ব'	2476	1827152
'ద'	3110	1813094
'名'	21517	1806875
'ု'	4143	1802866
'จ'	3592	1790422
'Е'	1045	1784642
'య'	3119	1781588
'ಯ'	3247	1779507
'ệ'	7879	1770705
'을'	51012	1747534
'け'	12369	1742629
'ợ'	7907	1736911
'พ'	3614	1734809
'和'	21644	1732373
'ў'	1118	1727924
'ố'	7889	1722887
'ब'	2348	1721943
'='	61	1709972
'ە'	1749	1707193
'ィ'	12451	1686020
'テ'	12486	1665103
'က'	4096	1663299
'ム'	12512	1660845
'Ш'	1064	1655032
'会'	20250	1653551
'マ'	12510	1644958
'代'	20195	1643149
'င'	4100	1633905
'ச'	2970	1630604
'お'	12362	1618641
'თ'	4311	1612069
'分'	20998	1607079
'ે'	2759	1605309
'ေ'	4145	1597559
'同'	21516	1595852
'プ'	12503	1594098
'合'	21512	1592955
'भ'	2349	1591194
'പ'	3370	1588426
'স'	2488	1588079
'ớ'	7899	1576593
'ų'	371	1571496
'њ'	1114	1571326
'ಂ'	3202	1571182
'市'	24066	1570564
'ল'	2482	1564734
'ủ'	7911	1563137
'լ'	1388	1560047
'や'	12420	1552011
'ै'	2376	1539279
'가'	44032	1528750
'バ'	12496	1523172
'主'	20027	1516923
'グ'	12464	1510683
'ိ'	4141	1509162
'φ'	966	1508634
'つ'	12388	1506915
'श'	2358	1504612
'고'	44256	1494638
'ম'	2478	1491811
'ട'	3359	1487127
'ど'	12393	1485755
'ಮ'	3246	1485506
'デ'	12487	1476868
'ි'	3538	1468971
'ậ'	7853	1462538
'ર'	2736	1459408
'方'	26041	1453259
'ช'	3594	1447099
'지'	51648	1444766
'下'	19979	1432120
'अ'	2309	1430328
'한'	54620	1426586
'コ'	12467	1424808
'子'	23376	1421480
'గ'	3095	1419337
'公'	20844	1416968
'ू'	2370	1407547
'ข'	3586	1400905
'서'	49436	1400527
'թ'	1385	1400239
'์'	3660	1399217
'!'	33	1398047
'ந'	2984	1393151
'ờ'	7901	1390813
'च'	2330	1390150
'Ч'	1063	1385707
'ใ'	3651	1382973
'オ'	12458	1381815
'事'	20107	1377052
'家'	23478	1370743
'第'	31532	1370525
'చ'	3098	1370061
'വ'	3381	1362297
'ో'	3147	1361565
'者'	32773	1358559
'డ'	3105	1357608
'場'	22580	1345751
'$'	36	1344905
'្'	6098	1343647
'မ'	4121	1341924
'გ'	4306	1338356
'メ'	12513	1336291
'わ'	12431	1335047
'ώ'	974	1332152
'은'	51008	1327997
'高'	39640	1324475
'્'	2765	1316983
'ہ'	1729	1316827
'മ'	3374	1313705
'自'	33258	1310279
'ન'	2728	1307728
'ð'	240	1305098
'ے'	1746	1303516
'প'	2474	1301083
'ట'	3103	1295185
'ī'	299	1294452
'න'	3505	1289654
'え'	12360	1288976
'ウ'	12454	1282751
'定'	23450	1277342
'ტ'	4322	1276571
'ך'	1498	1272886
'為'	28858	1262278
'ื'	3639	1261239
'기'	44592	1259219
'道'	36947	1258238
'သ'	4126	1251040
'ट'	2335	1249548
'前'	21069	1241476
'多'	22810	1240808
'ニ'	12491	1240256
'တ'	4112	1235440
'հ'	1392	1234842
'ే'	3143	1233761
'ം'	3330	1233503
'љ'	1113	1232891
'ầ'	7847	1223082
'ไ'	3652	1221145
'ұ'	1201	1220661
'ា'	6070	1218829
'立'	31435	1218761
'不'	19981	1216051
'β'	946	1210949
'所'	25152	1208946
'入'	20837	1207698
'チ'	12481	1207291
'法'	27861	1204390
'െ'	3398	1201706
'ุ'	3640	1197678
'գ'	1379	1194471
'間'	38291	1192888
'ष'	2359	1191820
'ュ'	12517	1188391
'ව'	3520	1184016
'შ'	4328	1183876
'ड'	2337	1183639
'物'	29289	1178384
'長'	38263	1177634
'発'	30330	1176861
'サ'	12469	1176826
'ấ'	7845	1175753
'山'	23665	1164270
'န'	4116	1163707
'ブ'	12502	1162228
'ध'	2343	1157010
'戦'	25126	1153184
'়'	2492	1152840
'了'	20102	1150159
'位'	20301	1146495
'็'	3655	1144093
'사'	49324	1142519
'ナ'	12490	1138766
'ャ'	12515	1137533
'ය'	3514	1133967
'으'	51004	1133796
'最'	26368	1132713
'·'	183	1132399
'新'	26032	1129931
'Э'	1069	1128732
'動'	21205	1124258
'他'	20182	1123299
'대'	45824	1121564
'ण'	2339	1119993
'政'	25919	1119134
'ց'	1409	1117261
'エ'	12456	1117103
'ല'	3378	1114373
'ん'	12435	1113764
'ಳ'	3251	1110946
'だ'	12384	1110783
'​'	8203	1109839
'դ'	1380	1108158
'ự'	7921	1107647
'મ'	2734	1106177
'開'	38283	1102772
'چ'	1670	1100399
'ề'	7873	1097401
'ị'	7883	1097187
'世'	19990	1093929
'通'	36890	1092664
'ը'	1384	1092242
'化'	21270	1091823
'시'	49884	1091225
'文'	25991	1088799
'კ'	4313	1086110
'°'	176	1080527
'സ'	3384	1079162
'現'	29694	1078972
'西'	35199	1078837
'要'	35201	1077757
'ပ'	4117	1075584
'|'	124	1070952
'『'	12302	1065380
'』'	12303	1065344
'ಪ'	3242	1064000
'ể'	7875	1060172
'ē'	275	1058211
'를'	47484	1056400
'*'	42	1055682
'ู'	3641	1054839
'리'	47532	1051027
'ြ'	4156	1050980
'東'	26481	1048199
